WORD,MEANING,PART OF SPEECH
forslack,᛫ to neglect ᛫ to be neglectful ᛫,V
forslow,᛫ to procrastinate ᛫ to put off ᛫ to delay ᛫,V
forsooth,᛫ indeed ᛫,AV
forspeak,᛫ to bewitch ᛫ to cast a bad spell over ᛫ to renounce ᛫,V
forspend,᛫ to exhaust ᛫,V
forspent,᛫ exhausted ᛫ fatigued ᛫,AJ
forspill,᛫ to destroy ᛫ to waste ᛫ to demolish ᛫,V
forstand,᛫ to stand up for ᛫ to defend ᛫ to protect ᛫,V
forstop,᛫ to stop completely ᛫ to smother ᛫ to block ᛫,V
forswear,᛫ to reject upon oath ᛫ to renounce ᛫ to abjure ᛫,V
forswink,᛫ to exhaust by labour ᛫,V
forswy,᛫ to keep silent ᛫ to be silent ᛫,V
fortee,᛫ to draw away to evil ᛫ to seduce ᛫,V
forth,᛫ to advance ᛫ to proceed ᛫ to carry out ᛫ to promote ᛫ to aid or to assist in a task ᛫,V
forthby,᛫ past ᛫,AV
forthen,᛫ on that account ᛫ for that reason ᛫ consequently ᛫,AV&amp;C
forthfare,᛫ to go forth ᛫ to die ᛫ to pass away ᛫,N᛭V
forthfill,᛫ to enforce ᛫ to fulfil ᛫,V
forthgang,᛫ progress ᛫ a continuance ᛫ a procession ᛫,N
forthgo,᛫ to proceed ᛫ to continue ᛫ to progress ᛫,V
forthink,᛫ to regret ᛫ to rethink ᛫ to change one's mind ᛫,V
forthnim,᛫ to take someone away ᛫ to remove ᛫ to take one's way ᛫ to leave ᛫,V
forthput,᛫ to propose ᛫ to put forth ᛫,V
forthright,᛫ unambiguous ᛫ unevasive ᛭ directly forward ᛫ immediately ᛫,AJ᛭AV
forthship,᛫ progress ᛫,N
forthtee,᛫ to draw forth ᛫ to quote ᛫ to cite ᛫,V
forthward,᛫ an agreement ᛫ a contract ᛫ a treaty ᛫ a covenant ᛫ a pledge ᛫,N
forthwiten,᛫ past ᛫ goneby ᛫,AJ
forthwiten tide,᛫ the past tense ᛭ of the past tense ᛫,N᛭AJ
forthwith,᛫ immediately ᛫,AV
fortnight,᛫ two weeks ᛫,N
fortnightly,᛫ biweekly ᛭ every two weeks ᛫,AJ᛭AV
fortread,᛫ to trample ᛫,V
fortylegs,᛫ a centipede ᛫,N
forwander,᛫ to exhaust oneself by wandering ᛫,V
forwarry,᛫ to hex ᛫ to curse something ᛫,V
forwhy,᛫ for the reason that ᛫ the reason why ᛫,AV
forwird,᛫ destruction ᛫ perdition ᛫,N
forwonder,᛫ to astonish ᛫,V
forworth,᛫ to perish ᛫ to spoil ᛫ to degenerate ᛫,V
forwright,᛫ an agent ᛫ a vicegerent ᛫,N
foryield,᛫ to repay ᛫ to yield what is owed ᛫ to recompense ᛫,V
foryielding,᛫ retribution ᛫ punishment ᛫,N
foster,᛫ to cultivate ᛫ to rear another's child ᛫,V
fosterling,᛫ a foster child ᛫,N
fother,᛫ a load ( esp a wagon-load or a cart-load ) ᛫ a heavy weight ᛫ a heavy burden ᛫ a large amount ᛫,N
fought,᛫ moist ᛫ damp ᛫,AJ
foughtenfield,᛫ a battleground ᛫ a battlefield ᛫,N
foul,᛫ unclean ᛫ disgusting ᛫ obscene ᛫ vulgar ᛫ detestable ᛫,AJ
foumart,᛫ the European polecat ᛫,N
foundling,᛫ an infant found after its unknown parents have abandoned it ᛫,N
fouredged,᛫ square ᛫,AJ
fourfold,᛫ quadruple ᛫,AJ
fourfooted,᛫ quadrupedal ᛫,AJ
fourling,᛫ a quadruplet ᛫,N
foursheat,᛫ quadrangular ᛫,AJ
foursome,᛫ a quartet ᛫ a tetrad ᛫,N
fourth,᛫ a quarter ᛫,N
fourth,᛫ a quart ( music ) ᛫ a tetrachord ᛫,N
fourwheeler,᛫ an ATV ᛫ a quad ᛫ an all-terrain vehicle ᛫,N
fouse,᛫ ready ᛫ prepared ᛫ willing ᛫ inclined ᛫ disposed ᛫,AJ
fousely,᛫ readily ᛫ promptly ᛫ gladly ᛫,AV
fowl,᛫ a bird ᛫,N
fowler,᛫ a person who hunts fowl ᛫,N
foxly,᛫ vulpine ᛫ cunning ᛫,AJ
fox's sleep,᛫ feigned sleep ᛫,N
frain,᛫ to inquire about ᛫ to interrogate ᛫,V
fraining,᛫ inquiry ᛫ interrogation ᛫ an asking ᛫ a question ᛫,N
frainmark,᛫ a question mark ( ? ) ᛫,N
fraked,᛫ bad ᛫ vile ᛫ shameful ᛫,AJ
frame,᛫ a context ᛫ an outlining ᛭ to fit into place ᛫ to put into context ᛫,V
framework,᛫ the support structure of something ᛫,N
Frank,᛫ a Frenchman ᛫ a Frank ᛫,N(P)
frank,᛫ a javelin of some sort ᛫,N
Frankdom,᛫ the Francosphere ᛫ the domain of Frenchness ᛫,N
Frankland,᛫ France ᛫,N(P)
fratow,᛫ treasure ᛭ to adorn with treasure ᛫ to adorn ᛫ to decorate ᛫,N᛭V
fraught,᛫ abounding abundant or replete with a bad thing ᛫,AJ
frea,᛫ a lord ᛫ a master ᛫,N
freak,᛫ a capricious action or event ᛫ a distastefully abnormal thing ᛫,N
frech,᛫ greedy ᛫ voracious ᛫ eager ᛫ bold ᛫ fierce ᛫,AJ
freck,᛫ to checker ᛫ to diversify ᛫,V
free,᛫ a woman ? a lady ( a female lord ) ? ᛫,N
freebooter,᛫ a pirate ᛫ a lawless adventurer ᛫,N
freed,᛫ to experience ( by touch or taste ) ᛫ to experience ( a sensation ) ᛫ to learn through experience ᛫,V
freedom,᛫ liberty ᛫,N
freek,᛫ a man who is brave ; strong ; or martial ᛫,N
freekness,᛫ danger ᛫,N
freeledge,᛫ franchise ( the ability to vote ) ᛫,N
freeload,᛫ to mooch ᛫ to sponge off another ᛫,V
freelock,᛫ oblation ᛫,N
freem,᛫ benefit ᛭ to aid something ᛫ to advance something ᛫ to avail something ᛫,N᛭V
freerunning,᛫ parkour ᛫,N
freestand,᛫ to be independent ᛫,V
freestanding,᛫ independent ᛫ not supported by or on anything ᛫,AJ
freethinker,᛫ one who forms opinions on the basis of reason independently of authority ᛫,N
freit,᛫ divination ᛫ augury ᛫,N
frelse,᛫ a celebration of a holiday ᛫ freedom ᛫ immunity ᛫ privilege ᛭ to observe or celebrate a holiday ᛫ to saveone from something ᛫,N᛭V
frem,᛫ to further ᛫ to perform ᛫ to execute ᛫ to operate ᛫,V
fremmed,᛫ to alienate ᛫ to estrange ᛭ foreign ᛫ alien,V᛭AJ
fremmedfear,᛫ xenophobia ᛫,N
fremmedledge,᛫ to alienate ᛫,V
fremmedling,᛫ a stranger ᛫ a foreigner ᛫,N
fremming,᛫ a furtherance ᛫ a performance ᛫ an execution ( of an action ) ᛫ an operation ᛫,N
fremmingbough,᛫ an executive branch ᛫,N
Frenchpox,᛫ syphilis ᛫,N
freshwater,᛫ of neoclassical economics ᛫,AJ
fret,᛫ to devour ᛫ to consume ᛫ to eat up ᛫ to corrode ᛫ to mortify ᛫,V
frettle,᛫ voracious ᛫ gluttonous ᛫,AJ
Friday,᛫ Friday ᛫,N(P)
fridge,᛫ to rub ᛫ to chafe ᛫ to fray ᛫ to abrade ᛫ to fidget ᛫,V
fridging,᛫ friction ᛫ abrasion ᛫ detrition ᛫,N
frie,᛫ to question ᛫,V
Frie,᛫ an English goddess equivalent to Norse Frigg ᛫ the planet Venus [ᚹ] ᛫,N(P)
friendfoe,᛫ a frenemy ᛫,N
friendly,᛫ amicable ᛫,N
fright,᛫ a scare ᛫ terror ᛫,N
frighten,᛫ to scare ᛫ to terrify ᛫,V
frightening,᛫ scary ᛫ terrifying ᛫,AJ
frightful,᛫ dreadful ᛫ unpleasant ᛫ ghastly ᛫ nasty ᛫ shocking ᛫,AJ
frike,᛫ to dance about ᛫ to move briskly ᛫,V
Frily,᛫ Venusian ᛫ Venutian ᛫,AJ
frim,᛫ excellent ᛫ vigorous ᛫ flourishing ᛫,N᛭AJ
frimful,᛫ beneficial ᛫,AJ
Frinight,᛫ the night following Friday's dusk ᛫,N(P)
Fris,᛫ a Frisian ᛫,N(P)
Frish,᛫ the Frisian language ᛭ Frisian ᛫,N(P)᛭AJ(P)
Frisland,᛫ Frisia ᛫,N(P)
frist,᛫ a limited period ᛫ time allotted for repayment ᛫ a grace period ᛫ credit ᛫,N
fristing,᛫ a delay ᛫ a suspension ᛫ a postponement ᛫,N
fristmark,᛫ an interval ᛫,N
frith,᛫ peace ( esp a broad societal kind ) ᛫,N
frithe,᛫ stately ᛫ beautiful ᛫,AJ
frithend,᛫ a peacebearer ᛫,N
frithful,᛫ peaceful ᛫ gentle ᛫ mild ᛫,AJ
frithguild,᛫ a guild for maintaining peace ᛫,N
frithhouse,᛫ a safehouse ᛫,N
frithless,᛫ peaceless ᛫,AJ
frithoath,᛫ a peace oath ᛫ a truce ᛫,N
frithsome,᛫ peaceful ᛫ pacific ᛫,AJ
frithstow,᛫ a refuge ᛫ an asylum ᛫,N
frithwrit,᛫ a peace treaty ᛫,N
frithyearn,᛫ eager for peace ᛫,AJ
from,᛫ a source [ᚹ] ᛫ an origin ᛫ the first part of a series ᛫ an originator ᛫ an author ᛫ a founder ᛫ aninventor ᛫,N
from,᛫ firm ᛫ potent ᛫,AJ
from time to time,᛫ occasionally ᛫,AV
fromchar,᛫ to turn from ᛫ to avert ᛫,V
fromshaft,᛫ origin ᛫,N
fromward,᛫ away ᛭ from ᛫,AV᛭P
fromwharve,᛫ to depart from ᛫ to turn from ᛫,V
frood,᛫ cautious ᛫ shrewd ᛫ wise ᛫,AJ
froover,᛫ comfort ᛫ consolation ᛫ solace ᛭ to solace ᛫ to console ᛫ to comfort ᛫,N᛭V
frore,᛫ extremely cold ᛫,AJ
frosh,᛫ a frog ᛫,N
froshdeer,᛫ an amphibian ᛫,N
frostbearer,᛫ a cryophorus ᛫,N
frostmoor,᛫ tundra ᛫,N
frough,᛫ brittle ᛫ tender ᛫ frail ᛫,AJ
froward,᛫ unmanageable ᛫ disobedient ᛫ untoward ᛫ habitually disposed to disobedience and opposition ᛫,AJ
frumth,᛫ a beginning ᛫ an origin ᛫ the beginning of the world ᛫,N
fuck,᛫ to copulate ᛫ to copulate with ᛫ to mate ᛫,V
fulcome,᛫ to attain ᛫ to realize ( in all senses ) ᛫ to accomplish ᛫,V
fuldo,᛫ to complete ᛫ to finish ᛫,V
fulend,᛫ to accomplish ᛫,V
fulfill,᛫ to achieve something ᛫ to carry out a duty ᛫ to satisfy a condition ᛫ to accomplish ᛫ to consummate ᛫ tocomplete ᛫ ,V
fulfledged,᛫ fully qualified ᛫ having all credentials ᛫ entire ᛫ authentic ᛫ fully covered with feathers ᛫,AJ
fulfrem,᛫ to perfect ᛫,V
fulfremmed,᛫ perfect ᛫ perfect ( grammatical term ) ᛫,AJ
fulfremmedness,᛫ perfection ᛫,N
full,᛫ a cup ᛫ a drinking bowl ᛫,N
full,᛫ filled ᛫ entire ᛭ very ᛫,AJ᛭AV
full moon,᛫ the moon when the whole of its disk is illuminated ᛫,N
fullblown,᛫ completely developed or formed ᛫ ripe ᛫ puffed up ᛫,AJ
fullbore,᛫ full-blown ᛫ made with maximum effort ᛭ with maximum effort or speed ᛫,AJ᛭AV
fullow,᛫ to baptize ᛫,V
fullstop,᛫ a period ( as in the punctuation mark ) ᛫,N
fully,᛫ completely ᛫ entirely ᛫ totally ᛫,AV
fulmard,᛫ a Mustela putorius animal ( European polecat ) ᛫,N
fulought,᛫ baptism ᛫,N
fuloughter,᛫ a baptist ᛫,N
fuloughthood,᛫ a baptismal vow ᛫,N
fuloughtstow,᛫ a baptistery ᛫,N
fulsome,᛫ overzealous ᛫ excessive ᛫ abundant ᛫ copious ᛫,AJ
fulth,᛫ abundance ᛫ plenty ᛫ satiety ᛫ repletion ᛫ sufficiency ᛫,N
fultom,᛫ support ᛫ succour ᛫,N
fulwaxen,᛫ fully grown ᛫ mature ᛫,AJ
fulwrought,᛫ completed ᛫,AJ
funnyman,᛫ a comedian ᛫ a humorist ᛫,N
furlong,᛫ an eighth of a mile ( 220 yards ) ᛫,N
furrow,᛫ a trench ᛫ a groove ᛫,N
furrow,᛫ a fir tree ᛫ a pine tree ᛫,N
further,᛫ to promote (as in to advance ) ᛫,V
furthering,᛫ furtherance ᛫ advancement or promotion in rank or office ᛫,N
furthermore,᛫ additionally ᛫,AV
furze,᛫ a Ulex Europaeus plant ᛫,N
futhorc,᛫ the Anglo-Frisian runic alphabet ᛫,N
gab,᛫ chatter ᛭ to chatter ᛫,N᛭V
gable,᛫ a facade ᛫ a façade ᛫,N
gadling,᛫ a vagabond ᛫ a person of low birth ᛫,N
Gaelish,᛫ Gaelic language ( Irish Scottish and Manx ) ᛫ Goidelic language ᛭ Gaelic ᛫ Goidelic ᛫,N(P)᛭AJ(P)
gaffeting,᛫ a scoffing ᛫ mocking ᛫,N
gainrising,᛫ a resurrection ᛫,N
gainsaw,᛫ a refutation ᛫,N
gainsay,᛫ to contradict ᛫,V
gainsaying,᛫ opposition ( usually in argument ) ᛫ contradiction ᛫,N
gainstand,᛫ to oppose ᛫ to resist ᛫,V
galder,᛫ an incantation ᛫ an enchantment ᛫,N
galdercraft,᛫ the art of incantation or enchantment ᛫,N
galdergaler,᛫ a magical enchanter ᛫,N
galderquid,᛫ a magical saying ᛫ an incantation ᛫ an enchantment ᛫,N
galdersong,᛫ a magic song ᛫,N
gale,᛫ a way ᛫ a course ᛫ a course of action ᛫ a way ᛫ a means ᛫,N
gale,᛫ to cry out ᛫ to bark ᛫ to chirp ᛫ to sing ᛫ to enchant ᛫,V
galer,᛫ an enchanter ᛫,N
galingale,᛫ galangal ᛫ the roots of various Alpinia ; Kæmpferia ; Aristolochia ; and Cyperus plants ; including inpowdered form ᛫,N
gall,᛫ bile ᛫ impudence ᛫ brazenness ᛫ temerity ᛭ to bother ᛫ to annoy ᛫ to make resentful ᛫,N᛭V
galled,᛫ bothered ᛫ annoyed ᛫ troubled ᛫,AJ
Gallish,᛫ Gaulish language ᛭ Gaulish ᛫,N(P)᛭AJ(P)
gallow,᛫ to terrify ᛫,V
gallowmood,᛫ of a grim or gloomy mood ᛫,AJ
Gallwales,᛫ the Celts of Gaul ᛫ Gaul ᛫ Gallia ᛫,N(P)
galp,᛫ to gape ᛫,V
gamble,᛫ a bet ᛫ a wager ᛫ a risk ᛭ to bet ᛫ to wager ᛫ to risk ᛫,N᛭V
game,᛫ eager or willing to do something new or challenging ᛫,AJ
game,᛫ fun ᛫ jest ᛫ sport ᛫ amusement ᛫ entertainment ᛫,N
gameful,᛫ sportive ᛫,AJ
gamehouse,᛫ a casino ᛫,N
gamely,᛫ sportive ᛭ sportively ᛫,AJ᛭AV
gamesare,᛫ a console ( gaming ) ᛫ an arcade machine ᛫,N
gamesome,᛫ playful ᛫ sportive ᛫ frolicsome ᛫,AJ
gamewood,᛫ a lyre ᛫ a lute ᛫ a guitar [ᚹ] ᛫,N
gamle,᛫ to age ᛭ aged ᛫,V᛭AJ
gammock,᛫ a piece of fun ᛫ a jest ᛫ a prank ᛫ a practical joke ᛫ a frolic ᛫ an antic ᛫ a trick ᛭ to frolic ᛫ to romp᛫ to fool about ᛫,N᛭V
Gandes,᛫ the Ganges ᛫,N(P)
gang,᛫ to go ᛫ to proceed ᛫,V
gang,᛫ a going ᛫ a journey ᛫ a path ᛫ a road ᛫ a watercourse ᛫ a process [ᚹ] ᛫,N
Gangdays,᛫ Rogation days ᛫,N
gangle,᛫ to move in a manner characteristic of a gangling person ᛫,V
gangling,᛫ awkwardly tall and thin ᛫ ungraceful ᛫,AJ
gangman,᛫ a member of a gang ᛫,N
gangway,᛫ a passageway ᛫ a vomitorium ᛫,N
gannet,᛫ a Sulidae bird ᛫,N
garclive,᛫ an Agrimonia plant ( agrimony ) ᛫,N
garish,᛫ gaudy ᛫,AJ
garsedge,᛫ an ocean ( poetic ) ᛫,N
Gascon,᛫ a native of Gascony ᛫ wine from Gascony ᛭ of Gascony ᛫,N(P)᛭AJ(P)
gast,᛫ to scare ᛫,V
gastern,᛫ an inn ᛫,N
gate,᛫ a circuit that converts multiple signals into one ᛫ a system call ᛫ a function ( in programming ) [ᚹ] ᛫,N
gateway,᛫ a portal ᛫,N
gavel,᛫ tribute ᛫ a rent ᛭ to rent ᛫,N᛭V
gavel,᛫ a fork ᛫,N
geason,᛫ rare ᛫ uncommon ᛫ unusual ᛫ scarce ᛫ scant ᛫,AJ
geld,᛫ to castrate (esp of an animal) ᛫ to spay (esp of an animal) ᛫ to neuter ᛫ to sterilize ᛫ to weaken ᛫ totrim ᛫,V
Germanish,᛫ Germanic speech ᛭ Germanic ᛫,N(P)᛭AJ(P)
Germany,᛫ Germania ᛫,N(P)
gersome,᛫ a treasure ᛫ a valuable ᛫ treasure ᛫ valuables ᛫ ,N
get,᛫ to obtain ᛫ to acquire ᛫,V
get rid of,᛫ to remove ᛫ to clear ᛫,V
getter,᛫ a receiver ᛫,N
ghastly,᛫ frightening ᛫ extremely bad ᛫ unpleasant ᛫,AJ
ghost,᛫ a spirit ( in all senses ) ᛫,N
ghostgun,᛫ a gun without a serial number ᛫,N
ghostlore,᛫ ghostology ᛫ spectrology ᛫,N
ghostly,᛫ spiritual ᛫ spectral ᛫,AJ
ghostword,᛫ a word born from an erroneous entry in a book ( esp dictionaries ) ᛫,N
gidden,᛫ a goddess ᛫,N
giddy,᛫ to excite and disorientate ᛭ disorientated and excited ᛫,V᛭AJ
gift,᛫ a contribution ᛫ a present ᛫,N
gigant,᛫ a giant ᛫,N
gild,᛫ to cover thinly with gold ( literally and figuratively ) ᛫,V
gill,᛫ ravine ᛫,N
gilt,᛫ superficial or false appearance of excellence ᛭ gold or something that resembles gold laid on a surface ᛫covered with a thin layer of gold ᛫,N᛭AJ
ging,᛫ a troop ᛫ a band of warriors ᛫ a company of people ᛫ an assemblage of people ᛫,N
ginge,᛫ current ᛫ prevalent ᛫,AJ
gird,᛫ to gird ( to bind around ) ᛫,N᛭V
girdle,᛫ a thing which girds ᛫ a belt ( esp one that holds up stockings ) ᛭ to gird ᛫,N᛭V
girdledeer,᛫ an armadillo ᛫,N
girn,᛫ a grimace ᛫,N᛭V
girn,᛫ calamity ᛫,N
git,᛫ a fool ᛫ an idiot ᛫ a moron ᛫,N
givel,᛫ a meal ᛫ food ᛫,N
givelness,᛫ liberality ᛫ munificence ᛫,N
giveth,᛫ ordained ( by fate ) ᛫ predetermined ᛫,AJ
gladden,᛫ to elate ᛫,V
gladdon,᛫ an Iris plant ( flowers ) ᛫,N
glade,᛫ an open space in a forest ᛫,N
glar,᛫ amber ᛫ resin ᛫,N
glare,᛫ an intense light ᛫ an angry stare ᛭ to shine intensely ᛫ to give an angry state at something ᛫,N᛭V
glaring,᛫ obvious ᛫,AJ
glass,᛫ vitrum ᛫ a mirror ᛭ to mirror ᛫ to reflect ᛫,N᛭V
glass noodle,᛫ a cellophane noodle ᛫,N
glasscloth,᛫ fiberglass ᛫,N
glassen,᛫ to turn to glass ᛫ to vitrify ᛫,V
glasses,᛫ spectacles ᛫,N
glassrown,᛫ a rune whose shape is mirrored ( so ᛚ as a glassrown would look like ᛏ ) ᛫,N
glasstone,᛫ mica ᛫,N
glasswright,᛫ a glassmaker ᛫ a glazier ᛫ a glazer ᛫ ,N
glassy,᛫ vitreous ᛫ hyaline ᛫,AJ
glaze,᛫ gloss ᛫ luster ᛫ lustre ᛭ to fit or cover with glass ᛫ to cover with a glossy coating ᛫,N᛭V
glazemill,᛫ calender ( a kind of machine which applies a glaze to a material ) ᛫,N
glazer,᛫ a glazier ( one whose craft is the making of glass or the installation and repair of glass windows ) ᛫,N
glee,᛫ joy ᛫ music ᛫ entertainment ᛫ sport ᛫ merriment ᛫ amusement ᛫,N
gleebeam,᛫ a harp ᛫,N
gleecraft,᛫ the art of music ᛫ minstrelsy ᛫,N
gleed,᛫ glowing coal ᛫ an ember ᛫,N
gleed,᛫ a bird of prey ᛫ a raptor ᛫ a Milvus milvus bird ( a kite) ᛫,N
gleemaiden,᛫ a female musician ᛫,N
gleeman,᛫ a musician ᛫,N
glemb,᛫ a spot ᛫ a blemish ᛫,N
glen,᛫ a narrow valley ᛫ a canyon ? ᛫,N
glenge,᛫ an ornament ᛫ an honour ᛫ a medal [ᚹ] ᛫,N
glew,᛫ to rejoice ᛫ to make merry ᛫ to party ᛫ to entertain ᛫ to entertain with music ᛫ to play music ᛫ to makemusic ᛫ to sing ᛫,V
glew,᛫ wise ᛫ skillful ᛫ sagacious ᛫ prudent ᛫,AJ
glewer,᛫ a jester ᛫ a baffoon ᛫ a clown ᛫,N
glewly,᛫ prudently ᛫ wisely ᛫ clearly ᛫ well ᛫,AV
glewness,᛫ prudence ᛫ skill ᛫ wisdom ᛫ ability ᛫ acuteness ᛫,N
glib,᛫ smooth ᛫ slippery ᛫ nonchalant ᛫ superficial ᛫,AJ
glide,᛫ a semivowel ᛫,N
glim,᛫ a candle ᛫ a lantern ᛫,N
glisten,᛫ a sparkling light ᛭ to shine with a sparkling light ᛫,N᛭V
gloaming,᛫ twilight ᛫ dusk ᛫,N
Glom,᛫ one of the Lemovii people ᛫,N(P)
glove,᛫ a gauntlet ᛫,N
glum,᛫ sullen ᛫,AJ
gnast,᛫ a spark ᛫ a live coal ᛫ a small flame ᛫ a snuff of a candle ᛫,N
gnaw,᛫ to chew away at something ᛫ to corrode something ᛫,V
gnawdeer,᛫ a rodent ᛫,N
gneed,᛫ stingy ᛫ niggardly ᛫ scanty ᛫ scarce ᛫,AJ
gnide,᛫ to rub ᛫ to grind through rubbing ᛫,V
gnorn,᛫ sadness ᛫ sorrow ᛫ grief ᛭ to grieve ᛫ to lament ᛫,N᛭V
gnorny,᛫ aggrieved ᛫ lamentful ᛫ dejected ᛫,AJ
goad,᛫ a stick for poking ᛭ to provoke ᛫ to encourage ᛫ to prod ᛫,N᛭V
goad,᛫ a lack ᛫,N
goan,᛫ to gape ᛫,V
Goat,᛫ Capricorn ᛫,PN
goatish,᛫ caprine ᛫ hircine ᛫ lascivious ᛫ libidinous ᛫,N
goatling,᛫ a kid (as in young goat) ᛫,N
goatsbeard,᛫ a Tragopogon plant ( salsify ) ᛫,N
goatsrue,᛫ a Galega plant ᛫,N
goatsucker,᛫ a Caprimulgidae bird ( a nightjar ) ᛫,N
gobetween,᛫ an intermediary ᛫,N
god,᛫ a deity ᛭ to deify ᛫,N᛭V
godboot,᛫ atonement ᛫,N
godforsaken,᛫ dismal ᛫,AJ
godhead,᛫ a god ᛫ a divine nature ᛫,N
godhood,᛫ divinity ᛫,N
godkind,᛫ divine nature ᛭ divine in nature ᛫,N᛭AJ
godkindness,᛫ divine nature ᛫ divinity ᛫,N
godlief,᛫ theism ᛫,N
godlore,᛫ theology ᛫,N
godly,᛫ divine ᛫ pious ᛫ devout ᛫,AJ
godsend,᛫ a desirable or needed thing or event that comes unexpectedly ᛫,N
godsent,᛫ sent by or as if by God ᛫ unexpectedly beneficial ᛫,AJ
godshild,᛫ a sin against God ᛫ impiety ᛫,N
godshildy,᛫ impious ᛫,AJ
godsib,᛫ a god parent ᛫ a sponsor ᛫,N
godsibred,᛫ a godsib kindred ᛫ sponsorship ᛫,N
godspeech,᛫ an oracle ᛫,N
godspeed,᛫ ( an expression of good wishes during an undertaking ) ᛫,I
godweb,᛫ cotton ᛫ a precious garment ᛫ fine clothing ᛫,N
godwebben,᛫ made of precious cloth ᛫,AJ
godwrack,᛫ impious ᛫,AJ
goings on,᛫ events ᛫ activities ᛫,N
goldhoard,᛫ a thesaurus ( as in a treasury ) ᛫,N
goldmaslin,᛫ orichalcum ᛫,N
goldstone,᛫ topaz ᛫ chrysolite ᛫ chrysoberyl ᛫,N
gole,᛫ lustful ᛫ lascivious ᛭ to be lascivious ᛫,AJ
gomb,᛫ tribute ᛫,N
gome,᛫ a male human ᛫,N
gong,᛫ a toilet ᛫ privy ᛫ a lavatory ᛫,N
gongfarmer,᛫ a cleaner of privies ᛫,N
gongman,᛫ a cleaner of privies ᛫,N
good,᛫ to improve [ᛏ] ᛫ to endow ᛫ to enrich ᛫,V
gooddoer,᛫ a benefactor ᛫ a do-gooder ᛫,N
gooderheal,᛫ good fortune ᛭ good luck! ᛫,N᛭I
goodly,᛫ considerable in size or quantity ᛫,AJ
goodman,᛫ Mister ᛫ Mr ᛫,N
goodwife,᛫ Mistress ᛫ Mrs ᛫,N
goodwill,᛫ amity ᛫,N
gorcrow,᛫ a carrion crow ᛫,N
gore,᛫ a skirt ᛫ a wedge of cloth or chain mail ᛫ a triangular piece of land ᛫,N
gore,᛫ a javelin ᛫ a spear for throwing ᛫ a dart ᛭ to stab ᛫,N
gorse,᛫ an Ulex plant ᛫ a Genista plant ᛫,N
goshawk,᛫ an Accipiter bird ᛫,N
gosling,᛫ a young goose ᛫,N
gospel,᛫ the message concerning Christ ᛭ to evangelize ᛫,N᛭V
gospelish,᛫ evangelical ᛫,AJ
gospeller,᛫ a missionary ᛫ a proselytizer ᛫ an evangelist ᛫,N
Got,᛫ a Goth ᛫,N
Gotland,᛫ the land of the Goths ᛫,N
Gottish,᛫ the Gothic tongue ᛭ Gothic ᛫,N᛭AJ
gound,᛫ eye mucus ᛫,N
gouth,᛫ battle ᛫ war ᛫ combat ᛫ conflict ᛫,N
gouth,᛫ war- ᛫ battle- ᛫,PREFIX
gouthcraft,᛫ warfare ᛫,N
gouthcust,᛫ warlike excellence ᛫,N
gouthfane,᛫ a military standard ᛫ an ensign ᛫,N
gouthhawk,᛫ a war hawk ᛫ a warmonger [ᚹ] ᛫,N
gouthhorn,᛫ a war horn ᛫,N
gouthmoot,᛫ a battle meeting ᛫,N
gouthrink,᛫ a heroic warrior ᛫,N
gouthsare,᛫ a war machine ᛫ arms ᛫ armour ᛫,N
gouthwain,᛫ a war vehicle ᛫ an armoured car ᛫ a tank ᛫,N
graff,᛫ a stylus ᛫ a graphium ᛫,N
graft,᛫ a carving ᛫ an engraving ᛫ a sculpture ᛫ a statue ᛫,N
graftiwork,᛫ an engraved piece of art ᛫ a carved sculpture ᛫,N
graith,᛫ equipment ᛫ apparel ᛫ accouterments ᛭ to prepare ᛫,N᛭V
graithly,᛫ preparedly ᛫,AV
gram,᛫ incensed ᛫ furious ᛫,AJ
grame,᛫ rage ᛫ anger ᛫ grief ᛫ vexation ᛫ torment ᛭ to enrage ᛫ to anger ᛫ to infuriate ᛫ to grieve ᛫ to vex ᛫ totorment ᛫,N᛭V
grane,᛫ a mustache ᛫ a moustache ᛫,N
grassland,᛫ a stretch of unforested grassy land ᛫ a prairie ᛫,N
grasstepper,᛫ a locust ᛫,N
grave,᛫ a place where a dead thing is buried ᛭ to engrave ᛫ to carve or shape with a chisel ᛫ to sculpt ᛫ tosculpture ᛫ to place in a grave ᛫,N᛭V
gravecloth,᛫ a pall ᛫,N
graver,᛫ a sculptor ᛫ an engraver ᛫ a digger ᛫ a miner ᛫ an engraving tool ᛫,N
gravewax,᛫ adipocere ᛫,N
graveyard,᛫ a cemetery ᛫,N
gray,᛫ a badger ᛫ a beaver ? ᛫,N
gread,᛫ a garment covering the breast ᛫,N
great,᛫ size ᛫ greatness ᛫ a majority ᛫ the essence of something ᛫,N
great,᛫ grand ᛫,AJ
great ape,᛫ a Hominidae animal ᛫,N
Great Bear Mere,᛫ Great Bear Lake ᛫,N(P)
Great Britten,᛫ Great Britain ᛫,N(P)
Great Salt Mere,᛫ Great Salt Lake ᛫,N(P)
greatelder,᛫ a grandparent ᛫,N
greaten,᛫ to increase in size extent amount or intensity ᛫,V
greaterhood,᛫ a majority ᛫,N
greatgun,᛫ a heavy ordnance piece ᛫ a cannon ᛫,N
greathearted,᛫ magnanimous ᛫,AJ
greatpox,᛫ syphilis ᛫,N
greed,᛫ an outcry ᛭ to cry out to shout ᛫,V
Greek,᛫ a Greek ᛫,N
